id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
NB_00556,Điện Tam Thế,Khác,địa điểm,20.2738547,105.8646942,"Gia Sinh, Gia Viễn, Ninh Bình",Gia Viễn,Điện Tam Thế là địa điểm tại Gia Viễn.,Điện Tam Thế Khác địa điểm Gia Viễn Ninh Bình
NB_00557,Chùa Bái Đính,Khác,địa điểm,20.2736649,105.8643917,"Gia Sinh, Gia Viễn, Ninh Bình",Gia Viễn,Chùa Bái Đính là địa điểm tại Gia Viễn.,Chùa Bái Đính Khác địa điểm Gia Viễn Ninh Bình
NB_00558,Điện Quán Âm,Khác,địa điểm,20.2778154,105.8668139,"Gia Sinh, Gia Viễn, Ninh Bình",Gia Viễn,Điện Quán Âm là địa điểm tại Gia Viễn.,Điện Quán Âm Khác địa điểm Gia Viễn Ninh Bình
NB_00559,Tháp Báo Thiên,Du lịch,địa điểm du lịch,20.2761197,105.8639658,"Gia Sinh, Gia Viễn, Ninh Bình",Gia Viễn,Tháp Báo Thiên là địa điểm du lịch tại Gia Viễn.,Tháp Báo Thiên Du lịch địa điểm du lịch Gia Viễn Ninh Bình
NB_00560,Khu Du lịch sinh Thái Tràng An,Du lịch,địa điểm du lịch,20.2527264,105.9180805,"Khu Du Lịch Tràng An, Ninh Xuân, Hoa Lư, Ninh Bình",Hoa Lư,Khu Du lịch sinh Thái Tràng An là địa điểm du lịch tại Hoa Lư.,Khu Du lịch sinh Thái Tràng An Du lịch địa điểm du lịch Hoa Lư Ninh Bình
NB_00561,Công viên Nguyễn Khuyến,Du lịch,công viên,20.5360414,105.9158705,"Đường Trường Chinh, Hai Bà Trưng, Phủ Lý, Hà Nam, 18120",Phủ Lý,Công viên Nguyễn Khuyến là công viên tại Phủ Lý.,Công viên Nguyễn Khuyến Du lịch công viên Phủ Lý Ninh Bình
NB_00562,Công viên Nam Cao,Du lịch,công viên,20.5453574,105.9136798,"Đại Lý Thành Nhung, 24 Đường Lê Hoàn, Quang Trung, Phủ Lý, Hà Nam, 18106",Phủ Lý,Công viên Nam Cao là công viên tại Phủ Lý.,Công viên Nam Cao Du lịch công viên Phủ Lý Ninh Bình
NB_00563,Điểm Hẹn,Ẩm thực,quán cà phê,20.1510019,105.9219835,"Đường Ngô Thì Nhậm, Trung Sơn, Tam Điệp, Ninh Bình, 08507",Tam Điệp,Điểm Hẹn là quán cà phê tại Tam Điệp.,Điểm Hẹn Ẩm thực quán cà phê Tam Điệp Ninh Bình
NB_00564,Công Viên Trung Sơn,Du lịch,công viên,20.1523484,105.921424,"Đường Ngô Thì Nhậm, Trung Sơn, Tam Điệp, Ninh Bình, 08507",Tam Điệp,Công Viên Trung Sơn là công viên tại Tam Điệp.,Công Viên Trung Sơn Du lịch công viên Tam Điệp Ninh Bình
NB_00565,trường cao đẳng nghề xây dựng,Du lịch,công viên,20.1522446,105.9239793,"Trung Sơn, Tam Điệp, Ninh Bình",Tam Điệp,trường cao đẳng nghề xây dựng là công viên tại Tam Điệp.,trường cao đẳng nghề xây dựng Du lịch công viên Tam Điệp Ninh Bình
NB_00566,Emeralda,Du lịch,khách sạn,20.3579606,105.8778896,"Gia Vân, Gia Viễn, Ninh Bình",Gia Viễn,Emeralda là khách sạn tại Gia Viễn.,Emeralda Du lịch khách sạn Gia Viễn Ninh Bình
NB_00567,GO! Nam Định,Du lịch,trung tâm thương mại,20.4379397,106.1521773,"Lộc Hòa, Nam Định",Nam Định,GO! Nam Định là trung tâm thương mại tại Nam Định.,GO! Nam Định Du lịch trung tâm thương mại Nam Định Ninh Bình
NB_00568,Nhà thờ đổ Hải Lý,Khác,địa điểm,20.1297546,106.3142787,"Hải Lý, Hải Hậu, Nam Định",Hải Hậu,Nhà thờ đổ Hải Lý là địa điểm tại Hải Hậu.,Nhà thờ đổ Hải Lý Khác địa điểm Hải Hậu Ninh Bình
NB_00569,Tam Coc Charm hotel,Du lịch,khách sạn,20.2178106,105.9424269,"Đường Tỉnh Lộ 478B, Ninh Hải, Ninh Thắng, Hoa Lư, Ninh Bình, 08214",Hoa Lư,Tam Coc Charm hotel là khách sạn tại Hoa Lư.,Tam Coc Charm hotel Du lịch khách sạn Hoa Lư Ninh Bình
NB_00570,Vườn hoa Điện Biên,Du lịch,công viên,20.4236568,106.1735061,"Đường Cung Văn Hóa Thiếu Nhi, Ngô Quyền, Nam Định, 07130",Nam Định,Vườn hoa Điện Biên là công viên tại Nam Định.,Vườn hoa Điện Biên Du lịch công viên Nam Định Ninh Bình
NB_00571,Vườn hoa Điện Biên,Du lịch,công viên,20.4249449,106.1754399,"Phố Phạm Hồng Thái, Trần Hưng Đạo, Nam Định, 07129",Nam Định,Vườn hoa Điện Biên là công viên tại Nam Định.,Vườn hoa Điện Biên Du lịch công viên Nam Định Ninh Bình
NB_00572,Công viên Vị Xuyên,Du lịch,công viên,20.4315549,106.1823825,"Vị Hoàng, Nam Định",Nam Định,Công viên Vị Xuyên là công viên tại Nam Định.,Công viên Vị Xuyên Du lịch công viên Nam Định Ninh Bình
NB_00573,Công viên Mỹ Xá,Du lịch,công viên,20.4210309,106.1522988,"Mỹ Xá, Nam Định",Nam Định,Công viên Mỹ Xá là công viên tại Nam Định.,Công viên Mỹ Xá Du lịch công viên Nam Định Ninh Bình
NB_00574,Công viên Tức Mạc,Du lịch,công viên,20.4353379,106.1701151,"Lộc Vượng, Nam Định",Nam Định,Công viên Tức Mạc là công viên tại Nam Định.,Công viên Tức Mạc Du lịch công viên Nam Định Ninh Bình
NB_00575,Công viên Prato,Du lịch,công viên,20.4359696,106.1538068,"Đường Nguyễn Bỉnh Khiêm, Lộc Hòa, Nam Định, 07117",Nam Định,Công viên Prato là công viên tại Nam Định.,Công viên Prato Du lịch công viên Nam Định Ninh Bình
NB_00576,Vườn hoa CX26,Du lịch,công viên,20.4365345,106.1563078,"92 Đường Nguyễn Công Trứ, Lộc Hòa, Nam Định, 07117",Nam Định,Vườn hoa CX26 là công viên tại Nam Định.,Vườn hoa CX26 Du lịch công viên Nam Định Ninh Bình
NB_00577,Vườn hoa CX25,Du lịch,công viên,20.4362941,106.1568836,"103 Đường Đông A, Lộc Hòa, Nam Định, 07117",Nam Định,Vườn hoa CX25 là công viên tại Nam Định.,Vườn hoa CX25 Du lịch công viên Nam Định Ninh Bình
NB_00578,Vườn hoa CX18,Du lịch,công viên,20.4368186,106.1571808,"Đường Đông A, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX18 là công viên tại Nam Định.,Vườn hoa CX18 Du lịch công viên Nam Định Ninh Bình
NB_00579,Vườn hoa CX17,Du lịch,công viên,20.4370607,106.1566336,"88 Đường Nguyễn Công Trứ, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX17 là công viên tại Nam Định.,Vườn hoa CX17 Du lịch công viên Nam Định Ninh Bình
NB_00580,Vườn hoa CX14,Du lịch,công viên,20.4375294,106.1582524,"Phố Trần Nhân Trứ, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX14 là công viên tại Nam Định.,Vườn hoa CX14 Du lịch công viên Nam Định Ninh Bình
NB_00581,Vườn hoa CX15,Du lịch,công viên,20.4370012,106.159699,"Phố Phạm Hữu Du, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX15 là công viên tại Nam Định.,Vườn hoa CX15 Du lịch công viên Nam Định Ninh Bình
NB_00582,Vườn hoa CX16,Du lịch,công viên,20.4364342,106.1612284,"Phố Vũ Cao, Lộc Vượng, Nam Định, 07115",Nam Định,Vườn hoa CX16 là công viên tại Nam Định.,Vườn hoa CX16 Du lịch công viên Nam Định Ninh Bình
