id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
HN_01290,Khách Sạn A25,Du lịch,khách sạn,21.0512205,105.8411459,"Đại Lý Sim Thẻ Ngọc Thiên, 8 Ngõ 32 An Dương, Yên Phụ, Tây Hồ, Hà Nội, 11213",Hà Nội,Hà Nội,"Khách Sạn A25 là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn A25 Du lịch khách sạn Hà Nội Hà Nội
HN_01291,Khách Sạn Adamas Hanoi,Du lịch,khách sạn,21.0421795,105.8455937,"Demantoid Hotel 2, 57 Phố Nguyễn Trường Tộ, Nguyễn Trung Trực, Ba Đình, Hà Nội",Hà Nội,Hà Nội,"Khách Sạn Adamas Hanoi là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn Adamas Hanoi Du lịch khách sạn Hà Nội Hà Nội
HN_01292,Khách Sạn Hải Nam,Du lịch,khách sạn,21.0419654,105.8468758,"Đại Lý Bánh Kẹo Nước Ngọt Lavie, Phố Nguyễn Trường Tộ, Nguyễn Trung Trực, Ba Đình, Hà Nội, 11115",Hà Nội,Hà Nội,"Khách Sạn Hải Nam là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn Hải Nam Du lịch khách sạn Hà Nội Hà Nội
HN_01293,Thang Long Espana Hotel,Du lịch,khách sạn,21.0422934,105.8451417,"Vietcombank - Chi Nhánh Sở Giao Dịch - Phòng Giao Dịch Số 6, 34 Phố Hàng Bún, Trúc Bạch, Ba Đình, Hà Nội, 11115",Hà Nội,Hà Nội,"Thang Long Espana Hotel là khách sạn tại Hà Nội, Hà Nội.",Thang Long Espana Hotel Du lịch khách sạn Hà Nội Hà Nội
HN_01294,Cà Phê Erato,Ẩm thực,quán cà phê,21.0388237,105.7724492,"Erato Coffee, 8 Phố Trần Vỹ, Mai Dịch, Cầu Giấy, Hà Nội, 11309",Hà Nội,Hà Nội,"Cà Phê Erato là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Erato Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01295,Cà Phê 102,Ẩm thực,quán cà phê,21.0417201,105.7734684,"Cafe 102, 102 Phố Trần Vỹ, Mai Dịch, Cầu Giấy, Hà Nội, 11309",Hà Nội,Hà Nội,"Cà Phê 102 là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê 102 Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01296,Cà Phê Chợ - Trung Tự,Ẩm thực,quán cà phê,21.0108368,105.8310086,"Cafe PS 3 WonBin, Phố Đặng Văn Ngữ, Trung Tự, Đống Đa, Hà Nội, 11521",Hà Nội,Hà Nội,"Cà Phê Chợ - Trung Tự là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Chợ - Trung Tự Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01297,SUSHI GARDEN - NHÀ HÀNG NHẬT BẢN,Ẩm thực,nhà hàng,21.0129836,105.8328594,"Phở Bò Ánh Sáng, 109 Phố Nam Đồng, Trung Tự, Đống Đa, Hà Nội, 11522",Hà Nội,Hà Nội,"SUSHI GARDEN - NHÀ HÀNG NHẬT BẢN là nhà hàng tại Hà Nội, Hà Nội.",SUSHI GARDEN - NHÀ HÀNG NHẬT BẢN Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01298,Cà Phê Gemax,Ẩm thực,quán cà phê,21.0109309,105.8310692,"Góc Cafe, Phố Đặng Văn Ngữ, Trung Tự, Đống Đa, Hà Nội, 11521",Hà Nội,Hà Nội,"Cà Phê Gemax là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Gemax Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01299,Phở Lý Quốc Sư,Ẩm thực,nhà hàng,21.0109743,105.831105,"Góc Cafe, Phố Đặng Văn Ngữ, Trung Tự, Đống Đa, Hà Nội, 11521",Hà Nội,Hà Nội,"Phở Lý Quốc Sư là nhà hàng tại Hà Nội, Hà Nội.",Phở Lý Quốc Sư Ẩm thực nhà hàng Hà Nội Hà Nội
