id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
H_00779,Công viên Thương Bạc,Du lịch,công viên,16.4684787,107.5858214,"Đường Trần Hưng Đạo, Phú Hòa, Huế, Thừa Thiên Huế, 49117",Huế,Công viên Thương Bạc là công viên tại Huế.,Công viên Thương Bạc Du lịch công viên Huế Huế
H_00780,Công viên Phú Xuân,Du lịch,công viên,16.463812,107.577425,"Đường Lê Duẩn, Phú Thuận, Huế, Thừa Thiên Huế, 49125",Huế,Công viên Phú Xuân là công viên tại Huế.,Công viên Phú Xuân Du lịch công viên Huế Huế
H_00781,Công viên Nguyễn Văn Trỗi,Du lịch,công viên,16.4719733,107.5813809,"Đường Hàn Thuyên, Thuận Thành, Huế, Thừa Thiên Huế, 49116",Huế,Công viên Nguyễn Văn Trỗi là công viên tại Huế.,Công viên Nguyễn Văn Trỗi Du lịch công viên Huế Huế
H_00782,Hotel Saigon Morin,Du lịch,khách sạn,16.4665764,107.5902996,"Đường Trương Định, Phú Nhuận, Huế, Thừa Thiên Huế, 49119",Huế,Hotel Saigon Morin là khách sạn tại Huế.,Hotel Saigon Morin Du lịch khách sạn Huế Huế
H_00783,Khách sạn Indochine Palace,Du lịch,khách sạn,16.4614093,107.598167,"Đường Hùng Vương, Huế, Thừa Thiên Huế, 49118",Huế,Khách sạn Indochine Palace là khách sạn tại Huế.,Khách sạn Indochine Palace Du lịch khách sạn Huế Huế
H_00784,Công viên Tôn Đức Thắng,Du lịch,công viên,16.462998,107.5975444,"Đường Nguyễn Văn Huyên, Huế, Thừa Thiên Huế, 49118",Huế,Công viên Tôn Đức Thắng là công viên tại Huế.,Công viên Tôn Đức Thắng Du lịch công viên Huế Huế
H_00785,La Résidence,Du lịch,khách sạn,16.4590877,107.5801224,"Đường Lê Lợi, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",Huế,La Résidence là khách sạn tại Huế.,La Résidence Du lịch khách sạn Huế Huế
H_00786,Bảo tàng Hồ Chí Minh,Du lịch,bảo tàng,16.4596249,107.5811082,"Bảo Tàng Hồ Chí Minh Thừa Thiên Huế, Đường Lê Lợi, Vĩnh Ninh, Huế, Thừa Thiên Huế",Huế,Bảo tàng Hồ Chí Minh là bảo tàng tại Huế.,Bảo tàng Hồ Chí Minh Du lịch bảo tàng Huế Huế
H_00787,Silk Path Grand Hue Hotel,Du lịch,khách sạn,16.457668,107.5801014,"2 Đường Lê Lợi, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",Huế,Silk Path Grand Hue Hotel là khách sạn tại Huế.,Silk Path Grand Hue Hotel Du lịch khách sạn Huế Huế
H_00788,Midtown Hue Hotel,Du lịch,khách sạn,16.4684518,107.5943625,"Beauty Salon Nicolai Phú, 29 Đường Đội Cung, Huế, Thừa Thiên Huế, 49118",Huế,Midtown Hue Hotel là khách sạn tại Huế.,Midtown Hue Hotel Du lịch khách sạn Huế Huế
H_00789,Trung Tâm Thương Mại Điền Môn,Du lịch,trung tâm thương mại,16.6856655,107.4097344,"Đường Quốc Lộ 49B, Điền Môn, Phong Điền, Thừa Thiên Huế, 49313",Phong Điền,Trung Tâm Thương Mại Điền Môn là trung tâm thương mại tại Phong Điền.,Trung Tâm Thương Mại Điền Môn Du lịch trung tâm thương mại Phong Điền Huế
H_00790,Chợ Phú Bình,Du lịch,chợ truyền thống,16.4880298,107.5781956,"167 Đường Đào Duy Anh, Phú Bình, Huế, Thừa Thiên Huế, 49111",Huế,Chợ Phú Bình là chợ truyền thống tại Huế.,Chợ Phú Bình Du lịch chợ truyền thống Huế Huế
H_00791,Nha Trung Bay Nong Cu,Du lịch,bảo tàng,16.4667817,107.6421227,"Tỉnh Lộ 3, Thủy Thanh, Hương Thủy, Thừa Thiên Huế, 49607",Hương Thủy,Nha Trung Bay Nong Cu là bảo tàng tại Hương Thủy.,Nha Trung Bay Nong Cu Du lịch bảo tàng Hương Thủy Huế
H_00792,Chợ Tây Lộc,Du lịch,chợ truyền thống,16.4733368,107.5672745,"Đường Thân Trọng Một, Tây Lộc, Huế, Thừa Thiên Huế, 49115",Huế,Chợ Tây Lộc là chợ truyền thống tại Huế.,Chợ Tây Lộc Du lịch chợ truyền thống Huế Huế
H_00793,Hải Vân Quan,Du lịch,địa điểm du lịch,16.1877471,108.1312899,"Hải Vân Quan, Đường Nguyễn Văn Cừ, Hòa Hiệp Bắc, Liên Chiểu, Đà Nẵng, 50610",Đà Nẵng,Hải Vân Quan là địa điểm du lịch tại Đà Nẵng.,Hải Vân Quan Du lịch địa điểm du lịch Đà Nẵng Huế
H_00794,Ben Ngu Market,Du lịch,chợ truyền thống,16.4552082,107.58394,"Bách Hóa, Đường Phan Đình Phùng, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",Huế,Ben Ngu Market là chợ truyền thống tại Huế.,Ben Ngu Market Du lịch chợ truyền thống Huế Huế
H_00795,Đông Khuyết Đài,Du lịch,địa điểm du lịch,16.471596,107.5800406,"Đường Hàn Thuyên, Thuận Thành, Huế, Thừa Thiên Huế, 49116",Huế,Đông Khuyết Đài là địa điểm du lịch tại Huế.,Đông Khuyết Đài Du lịch địa điểm du lịch Huế Huế
H_00796,Quốc Tử Giám,Du lịch,địa điểm du lịch,16.4705977,107.5824866,"Bảo Tàng Mỹ Thuật Cung Đình Huế, Thuận Thành, Huế, Thừa Thiên Huế",Huế,Quốc Tử Giám là địa điểm du lịch tại Huế.,Quốc Tử Giám Du lịch địa điểm du lịch Huế Huế
H_00797,Điện Thái Hòa,Du lịch,địa điểm du lịch,16.4687434,107.5783867,"Thai Hoa Palac, Thuận Thành, Huế, Thừa Thiên Huế, 49116",Huế,Điện Thái Hòa là địa điểm du lịch tại Huế.,Điện Thái Hòa Du lịch địa điểm du lịch Huế Huế
H_00798,Công viên tượng đài Nguyễn Chí Thanh,Du lịch,công viên,16.5741843,107.5094141,"Sịa, Quảng Điền, Thừa Thiên Huế",Quảng Điền,Công viên tượng đài Nguyễn Chí Thanh là công viên tại Quảng Điền.,Công viên tượng đài Nguyễn Chí Thanh Du lịch công viên Quảng Điền Huế
H_00799,Công viên đền tưởng niệm Liệt Sỹ,Du lịch,công viên,16.5780692,107.5145868,"Sịa, Quảng Điền, Thừa Thiên Huế",Quảng Điền,Công viên đền tưởng niệm Liệt Sỹ là công viên tại Quảng Điền.,Công viên đền tưởng niệm Liệt Sỹ Du lịch công viên Quảng Điền Huế
H_00800,Tây Khuyết Đài,Du lịch,địa điểm du lịch,16.468038,107.5750678,"Đường Lê Huân, Thuận Thành, Huế, Thừa Thiên Huế, 49116",Huế,Tây Khuyết Đài là địa điểm du lịch tại Huế.,Tây Khuyết Đài Du lịch địa điểm du lịch Huế Huế
H_00801,Holy Cannons of the Citadel of Hue,Du lịch,địa điểm du lịch,16.4679182,107.5812384,"Đường Ông Ích Khiêm, Thuận Thành, Huế, Thừa Thiên Huế, 49116",Huế,Holy Cannons of the Citadel of Hue là địa điểm du lịch tại Huế.,Holy Cannons of the Citadel of Hue Du lịch địa điểm du lịch Huế Huế
H_00802,Vườn Cơ Hạ,Du lịch,công viên,16.4717799,107.5789196,"Thuận Thành, Huế, Thừa Thiên Huế",Huế,Vườn Cơ Hạ là công viên tại Huế.,Vườn Cơ Hạ Du lịch công viên Huế Huế
